;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
296;9.02170296200471e-78;1.16487294927071;0.405;0.133;1.19113544207348e-73;6;CG43850
297;1.41280085271611e-77;1.23781444925141;0.307;0.081;1.86532096584108e-73;6;CG43795
298;7.21462771529867e-66;1.26141861426382;0.432;0.161;9.52547297250884e-62;6;Dscam4
299;1.08702242042648e-65;1.01672814024504;0.358;0.118;1.43519570168909e-61;6;Dhc36C
300;1.38798632886473e-65;1.1862005453658;0.408;0.148;1.83255835000011e-61;6;side-V
301;1.86681894021829e-65;1.02734032067773;0.249;0.064;2.4647610467702e-61;6;CG13842
302;2.94625768912239e-65;1.12334180344797;0.414;0.149;3.88994402694829e-61;6;CG43155
303;4.65596862557628e-63;1.14928725791958;0.336;0.11;6.14727537634837e-59;6;PVRAP
304;6.13049492777181e-62;1.1935084807968;0.633;0.344;8.09409245313712e-58;6;Hs6st
305;1.95119954044997e-61;1.0403672239636;0.426;0.165;2.57616875325609e-57;6;lncRNA:CR45758
306;6.9106499269814e-56;1.10591784487208;0.456;0.199;9.12413109859354e-52;6;pxb
307;1.25908023340453e-50;1.05022489619803;0.289;0.097;1.662363632164e-46;6;CG10947
308;2.69581824581551e-49;1.13248472539372;0.721;0.481;3.55928882995022e-45;6;side-VI
309;7.02182589117616e-49;1.14031164001389;0.312;0.113;9.27091672411989e-45;6;Toll-6
310;6.0928264282573e-46;1.11585914731109;0.289;0.1;8.04435873322812e-42;6;beat-Ib
311;4.5944725822938e-20;1.04882112187622;0.198;0.087;6.06608215040251e-16;6;Oct-TyrR
